eps,eps_pixel,attack_source,eval_model,is_white_box,total,clean_accuracy_eval_model,adv_accuracy_all,attack_success_all,adv_accuracy_on_clean_correct_eval_model,attack_success_on_clean_correct_eval_model,source_success_count,source_success_transfer_rate_all,source_success_transfer_rate_eval_clean_correct,toplogit_norm_margin_mean,toplogit_norm_margin_median,toplogit_norm_margin_p25,toplogit_norm_margin_p75
0.01568627450980392,4.0,hira_ranpac_regression,hira_ranpac_regression,1,1000,0.732,0.582,0.41800000000000004,0.7950819672131147,0.20491803278688525,150,1.0,1.0,0.059626534108712805,0.12043945118784904,-0.2957001179456711,0.4526285156607628
0.01568627450980392,4.0,hira_ranpac_regression,original,0,1000,0.735,0.585,0.41500000000000004,0.7959183673469388,0.20408163265306123,150,0.9466666666666667,0.9448275862068966,0.05555294440491707,0.11760501936078072,-0.2872793525457382,0.4382081553339958
0.01568627450980392,4.0,original,hira_ranpac_regression,0,1000,0.732,0.559,0.44099999999999995,0.7636612021857924,0.23633879781420764,174,0.9770114942528736,0.9759036144578314,0.04333875269966666,0.09132174402475357,-0.31383100897073746,0.43881955742836
0.01568627450980392,4.0,original,original,1,1000,0.735,0.561,0.43899999999999995,0.763265306122449,0.23673469387755097,174,1.0,1.0,0.03729414471889686,0.0867648497223854,-0.2995118051767349,0.4226730614900589
0.03137254901960784,8.0,hira_ranpac_regression,hira_ranpac_regression,1,1000,0.732,0.388,0.612,0.5300546448087432,0.4699453551912568,344,1.0,1.0,-0.16646251985673371,-0.18230629712343216,-0.6108920872211456,0.3240742012858391
0.03137254901960784,8.0,hira_ranpac_regression,original,0,1000,0.735,0.393,0.607,0.5346938775510204,0.4653061224489796,344,0.9767441860465116,0.976401179941003,-0.16616444290737856,-0.16630486398935318,-0.5966427773237228,0.3049264922738075
0.03137254901960784,8.0,original,hira_ranpac_regression,0,1000,0.732,0.362,0.638,0.49453551912568305,0.505464480874317,375,0.9893333333333333,0.989100817438692,-0.18800592918135225,-0.22695524990558624,-0.6311879009008408,0.25675953924655914
0.03137254901960784,8.0,original,original,1,1000,0.735,0.36,0.64,0.4897959183673469,0.5102040816326531,375,1.0,1.0,-0.1911372501028236,-0.21262411773204803,-0.6212017983198166,0.2527090311050415
0.06274509803921569,16.0,hira_ranpac_regression,hira_ranpac_regression,1,1000,0.732,0.163,0.837,0.2226775956284153,0.7773224043715847,569,1.0,1.0,-0.7299872509799897,-0.8270346820354462,-1.2109359204769135,-0.37768155336380005
0.06274509803921569,16.0,hira_ranpac_regression,original,0,1000,0.735,0.162,0.838,0.22040816326530613,0.7795918367346939,569,0.9982425307557118,0.99822695035461,-0.7282485918500461,-0.8099449872970581,-1.2159831821918488,-0.35645511001348495
0.06274509803921569,16.0,original,hira_ranpac_regression,0,1000,0.732,0.149,0.851,0.20355191256830601,0.7964480874316939,586,0.9982935153583617,0.9982698961937716,-0.662999000959273,-0.7903995215892792,-1.0675288438796997,-0.4332260861992836
0.06274509803921569,16.0,original,original,1,1000,0.735,0.149,0.851,0.20272108843537415,0.7972789115646258,586,1.0,1.0,-0.6691132000222569,-0.7914639413356781,-1.0778929591178894,-0.41720470041036606
