eps,eps_pixel,clean_original_accuracy,clean_hira_ranpac_accuracy,original_pgd_on_original_accuracy,original_pgd_on_hira_ranpac_accuracy,hira_ranpac_pgd_on_original_accuracy,hira_ranpac_pgd_on_hira_ranpac_accuracy,original_worst_source_accuracy,hira_ranpac_worst_source_accuracy,hira_ranpac_advantage_on_original_pgd,hira_ranpac_advantage_on_hira_ranpac_pgd,hira_ranpac_worst_source_advantage,original_to_hira_ranpac_transfer_rate_eval_clean_correct,hira_ranpac_to_original_transfer_rate_eval_clean_correct,original_pgd_on_original_toplogit_norm_margin_mean,original_pgd_on_hira_ranpac_toplogit_norm_margin_mean,hira_ranpac_pgd_on_original_toplogit_norm_margin_mean,hira_ranpac_pgd_on_hira_ranpac_toplogit_norm_margin_mean
0.0,0.0,0.735,0.732,0.735,0.732,0.735,0.732,0.735,0.732,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,nan,nan,0.2086730496166274,0.21846085707804014,0.2086730496166274,0.21846085707804014
0.00392156862745098,1.0,0.735,0.732,0.696,0.699,0.701,0.704,0.696,0.699,0.0030000000000000027,0.0030000000000000027,0.0030000000000000027,0.8387096774193549,0.875,0.17143710426572942,0.18054425224731677,0.1760243926292751,0.18470380420261062
0.00784313725490196,2.0,0.735,0.732,0.665,0.657,0.671,0.669,0.665,0.657,-0.008000000000000007,-0.0020000000000000018,-0.008000000000000007,0.9516129032258065,0.8813559322033898,0.13099194355960936,0.13906557658669044,0.14026977866329252,0.1473600059404853
0.01568627450980392,4.0,0.735,0.732,0.561,0.559,0.585,0.582,0.561,0.559,-0.0020000000000000018,-0.0030000000000000027,-0.0020000000000000018,0.9759036144578314,0.9448275862068966,0.03729414471889686,0.04333875269966666,0.05555294440491707,0.059626534108712805
0.03137254901960784,8.0,0.735,0.732,0.36,0.362,0.393,0.388,0.36,0.362,0.0020000000000000018,-0.0050000000000000044,0.0020000000000000018,0.989100817438692,0.976401179941003,-0.1911372501028236,-0.18800592918135225,-0.16616444290737856,-0.16646251985673371
0.06274509803921569,16.0,0.735,0.732,0.149,0.149,0.162,0.163,0.149,0.149,0.0,0.0010000000000000009,0.0,0.9982698961937716,0.99822695035461,-0.6691132000222569,-0.662999000959273,-0.7282485918500461,-0.7299872509799897
